title,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Price
SKODA Fabia,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5,Euro 6,6900
Vauxhall Corsa,88585,2008,4,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,1495
Hyundai i30,137000,2011,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,949
MINI Hatch,96731,2010,5,Petrol,Hatchback,1.4L,Manual,3,4,Euro 4,2395
Vauxhall Corsa,85000,2013,0,Diesel,Hatchback,1.3L,Manual,5,5,Euro 5,1000
Hyundai Coupe,124196,2007,3,Petrol,Coupe,2.0L,Manual,3,4,Euro 4,800
Ford Focus,140599,2008,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,798
Vauxhall Corsa,90000,2009,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,1995
Volvo 740,225318,1989,0,Petrol,Estate,2.3L,Automatic,5,null,null,750
Peugeot 207,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,1299
Ford Fiesta,181693,2009,0,Diesel,Hatchback,1.6L,Manual,3,5,Euro 4,1495
Vauxhall Insignia,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,2950
SKODA Fabia,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5,Euro 6,6900
BMW 3 Series,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,19800
Citroen C1,164985,2008,0,Petrol,Hatchback,1.0L,Manual,3,4,Euro 4,1100
Vauxhall Corsa,109000,2007,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1295
Peugeot 207,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,999
Citroen C4,135000,2010,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,1289
Vauxhall Astra,134000,2004,5,Petrol,Hatchback,1.8L,Automatic,5,5,Euro 4,1200
Citroen C4,114000,2013,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,1949
Ford Mondeo,101000,2010,3,Diesel,Hatchback,1.8L,Manual,5,5,Euro 4,1195
Mercedes-Benz A180,53055,2019,0,Petrol,Hatchback,1.3L,Manual,5,5,Euro 6,14498
Peugeot 407,89000,2007,0,Petrol,Coupe,3.0L,Automatic,2,4,Euro 4,1995
Ford KA,69000,2003,3,Petrol,Hatchback,1.3L,Manual,3,4,Euro 3,990
Vauxhall Insignia,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,2950
Mercedes-Benz A Class,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,15900
Ford Focus,86500,2017,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,8975
Citroen C4,55000,2011,2,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,3399
SKODA Fabia,150000,2007,2,Diesel,Hatchback,1.9L,Manual,5,5,Euro 4,1990
Ford Focus,95000,2009,3,Diesel,Hatchback,1.8L,Manual,5,5,Euro 4,1200
Mazda Mazda2,135800,2008,3,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,1490
Saab 9-3,98000,2006,0,Petrol,Convertible,2.0L,Automatic,2,4,Euro 4,2250
Volkswagen Polo,106305,2011,4,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,2800
BMW 1 Series,86000,2011,3,Petrol,Coupe,2.0L,Manual,2,4,Euro 5,2490
Vauxhall Corsa,75786,2008,3,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,1695
Vauxhall Corsa,99905,2010,5,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,1795
Vauxhall Astra,95000,2011,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,2500
Volkswagen Polo,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5,5,Euro 5,2495
Mercedes-Benz A Class,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,15900
Vauxhall Corsa,22782,2020,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,10698
Vauxhall Corsa,63796,2008,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,1795
Vauxhall Astra,178000,2007,4,Petrol,Hatchback,1.8L,Automatic,5,5,Euro 4,1250
Vauxhall Corsa,113218,2005,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,988
Vauxhall Astra,88000,2008,0,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,1995
